home_team,away_team,home_rating,away_rating,home_recent_form,away_recent_form,home_goals_avg,away_goals_avg,home_goals,away_goals,result
Suriname,Guyana,61,55,1.93,-0.76,2.1,1.45,4,3,home_win
Dominican Republic,Martinique,57,59,0.34,0.69,2.11,2.42,0,2,away_win
Haiti,Saint Vincent and the Grenadines,69,45,-0.48,-2.89,2.7,2.01,5,0,home_win
Saint Lucia,Antigua and Barbuda,46,49,2.49,5.65,1.63,1.28,1,2,away_win
Curacao,Barbados,68,48,3.98,-1.32,2.47,1.16,5,0,home_win
Guadeloupe,Bahamas,60,40,-0.17,-0.77,2.68,1.61,3,1,home_win
Saint Kitts and Nevis,Antigua and Barbuda,51,49,1.15,2.7,1.97,1.74,2,1,home_win
Montserrat,Saint Kitts and Nevis,30,51,3.41,-1.97,0.92,1.19,1,2,away_win
Cuba,Montserrat,62,30,5.07,-5.1,2.24,1.23,4,0,home_win
Dominica,Suriname,39,61,-0.16,5.23,0.61,2.41,0,3,away_win
Cuba,Jamaica,62,78,5.51,1.09,1.99,2.52,3,0,home_win
Saint Lucia,Grenada,46,52,-3.31,6.01,1.17,2.13,0,0,draw
Saint Kitts and Nevis,Grenada,51,52,-0.6,4.27,1.57,2.63,0,1,away_win
Dominican Republic,Haiti,57,69,-5.88,-0.87,2.64,2.27,2,0,home_win
Grenada,Puerto Rico,52,44,0.47,5.21,1.97,0.97,2,5,away_win
Cuba,Barbados,62,48,0.43,-1.79,1.63,1.42,0,1,away_win
Saint Kitts and Nevis,Jamaica,51,78,0.06,1.92,0.86,2.13,0,2,away_win
Dominican Republic,Cayman Islands,57,33,-4.54,-3.41,2.24,1.12,0,0,draw
Guyana,Bermuda,55,47,5.07,2.11,2.27,1.34,4,0,home_win
Dominica,Haiti,39,69,-3.36,-2.48,1.3,2.25,0,5,away_win
Puerto Rico,Aruba,44,43,-1.77,-4.71,1.7,1.71,0,1,away_win
Cayman Islands,Cuba,33,62,0.11,3.89,1.3,2.54,1,2,away_win
Bahamas,Suriname,40,61,-1.78,1.87,1.13,1.97,0,3,away_win
Trinidad and Tobago,Puerto Rico,71,44,-2.12,-3.65,2.65,1.33,1,1,draw
Guadeloupe,Cayman Islands,60,33,6.85,1.45,2.3,1.37,3,0,home_win
Cuba,Belize,62,45,2.45,-3.21,2.28,1.24,1,0,home_win
Dominican Republic,Haiti,57,69,-0.13,1.65,1.79,2.56,1,0,home_win
Cayman Islands,Grenada,33,52,6.02,3.83,1.72,1.9,1,2,away_win
Saint Lucia,Guyana,46,55,1.96,-0.45,1.86,1.77,2,3,away_win
Martinique,Aruba,59,43,3.38,2.83,1.84,1.92,1,0,home_win
Grenada,Jamaica,52,78,0.56,-0.24,1.68,2.82,1,4,away_win
Dominican Republic,Cayman Islands,57,33,1.62,-4.99,1.56,1.28,2,0,home_win
Saint Vincent and the Grenadines,Haiti,45,69,-0.32,-5.36,1.69,2.44,0,2,away_win
Bermuda,Guadeloupe,47,60,1.87,-1.68,1.6,2.24,3,0,home_win
Haiti,Martinique,69,59,-5.88,-4.08,2.32,1.66,1,0,home_win
Montserrat,Cuba,30,62,5.79,-0.43,0.66,1.86,0,1,away_win
Puerto Rico,Barbados,44,48,-1.56,2.18,1.25,2.4,0,1,away_win
Curacao,Cayman Islands,68,33,-6.21,0.36,2.6,1.36,0,0,draw
Bahamas,Saint Lucia,40,46,-5.89,3.19,1.34,1.0,1,1,draw
Bermuda,Saint Vincent and the Grenadines,47,45,-2.74,4.95,0.77,2.11,0,2,away_win
Antigua and Barbuda,Belize,49,45,-2.78,0.28,2.0,1.36,1,0,home_win
Dominican Republic,Guyana,57,55,0.19,-3.26,1.73,1.9,2,0,home_win
Martinique,Jamaica,59,78,-0.19,-3.24,1.52,2.03,0,3,away_win
Montserrat,Cayman Islands,30,33,0.25,-3.15,0.75,1.31,1,0,home_win
Martinique,Belize,59,45,-2.61,1.49,2.79,1.82,1,0,home_win
Grenada,Antigua and Barbuda,52,49,-3.59,-2.19,2.24,1.32,0,0,draw
Saint Vincent and the Grenadines,Haiti,45,69,-3.25,1.44,0.61,1.77,1,2,away_win
Cayman Islands,Grenada,33,52,-3.71,0.58,1.62,2.4,0,2,away_win
Martinique,Cayman Islands,59,33,-2.52,-0.96,2.31,0.61,4,1,home_win
Guadeloupe,Cuba,60,62,1.63,7.22,2.33,2.08,1,0,home_win
Dominica,Dominican Republic,39,57,-0.87,-1.93,1.41,1.8,0,1,away_win
Cayman Islands,Suriname,33,61,3.0,-1.54,1.55,1.2,0,2,away_win
Barbados,Grenada,48,52,-1.96,5.77,0.2,0.85,0,2,away_win
Belize,Montserrat,45,30,-2.31,-2.04,1.48,1.2,2,1,home_win
Saint Vincent and the Grenadines,Aruba,45,43,2.7,-4.4,1.51,1.26,2,0,home_win
Suriname,Antigua and Barbuda,61,49,-2.17,0.72,2.08,1.43,5,1,home_win
Dominican Republic,Saint Kitts and Nevis,57,51,2.41,-1.87,1.38,1.98,3,1,home_win
Curacao,Puerto Rico,68,44,2.79,4.35,2.21,1.37,2,0,home_win
Martinique,Aruba,59,43,-2.6,0.48,1.82,1.33,1,1,draw
Saint Lucia,Haiti,46,69,-2.84,-1.96,1.31,2.07,1,2,away_win
Barbados,Bermuda,48,47,-0.32,1.02,1.1,1.91,2,2,draw
Cuba,Cayman Islands,62,33,7.89,-2.73,1.96,1.9,4,0,home_win
Dominica,Bahamas,39,40,3.81,-0.84,0.67,0.96,2,1,home_win
Haiti,Barbados,69,48,-2.31,2.99,2.47,0.72,4,0,home_win
Dominica,Barbados,39,48,0.17,1.34,1.57,2.1,1,0,home_win
Grenada,Saint Kitts and Nevis,52,51,-1.38,2.77,1.47,1.66,1,2,away_win
Barbados,Saint Kitts and Nevis,48,51,2.13,5.61,1.86,1.76,3,0,home_win
Haiti,Suriname,69,61,-6.41,-0.74,2.65,2.31,1,0,home_win
Bermuda,Dominica,47,39,4.2,4.1,1.68,0.81,2,0,home_win
Montserrat,Haiti,30,69,1.73,-1.97,0.81,2.57,0,2,away_win
Haiti,Saint Kitts and Nevis,69,51,3.36,-5.23,1.99,2.14,2,0,home_win
Barbados,Bahamas,48,40,-0.79,-1.6,1.75,1.35,0,1,away_win
Dominican Republic,Guadeloupe,57,60,-1.11,2.25,2.34,2.03,0,2,away_win
Suriname,Saint Vincent and the Grenadines,61,45,-4.35,-1.18,2.12,1.42,3,2,home_win
Guyana,Grenada,55,52,-2.54,2.98,1.93,1.65,0,2,away_win
Guadeloupe,Suriname,60,61,-4.88,0.91,1.76,2.2,1,1,draw
Belize,Martinique,45,59,-3.88,0.59,1.67,1.94,0,2,away_win
Antigua and Barbuda,Martinique,49,59,-8.1,3.73,1.7,1.41,0,2,away_win
Puerto Rico,Belize,44,45,-0.46,0.92,1.32,1.1,1,1,draw
Martinique,Barbados,59,48,1.88,-2.0,2.49,2.08,2,0,home_win
Grenada,Curacao,52,68,-0.61,-4.85,1.98,2.52,1,2,away_win
Saint Lucia,Bahamas,46,40,-1.4,-2.02,1.27,1.61,2,0,home_win
Dominica,Grenada,39,52,4.52,-1.35,0.58,1.97,0,0,draw
Antigua and Barbuda,Trinidad and Tobago,49,71,0.51,-2.06,1.2,2.67,1,1,draw
Saint Kitts and Nevis,Jamaica,51,78,5.02,-5.08,2.22,1.63,0,1,away_win
Trinidad and Tobago,Martinique,71,59,7.8,-0.55,1.58,2.11,1,1,draw
Saint Lucia,Dominican Republic,46,57,2.62,2.31,2.0,2.47,1,0,home_win
Antigua and Barbuda,Dominican Republic,49,57,0.82,-2.09,1.47,2.18,3,1,home_win
Bermuda,Bahamas,47,40,0.13,-5.77,1.56,1.63,2,0,home_win
Belize,Dominican Republic,45,57,-6.18,-2.61,0.98,1.77,1,7,away_win
Guadeloupe,Bermuda,60,47,3.75,-3.83,2.18,1.78,1,1,draw
Barbados,Bermuda,48,47,2.67,-6.54,1.31,1.79,1,0,home_win
Suriname,Bahamas,61,40,-0.6,-2.33,2.35,0.89,2,0,home_win
Haiti,Bermuda,69,47,3.59,3.37,1.84,1.53,4,0,home_win
Montserrat,Curacao,30,68,1.31,0.27,0.66,1.97,0,3,away_win
Bermuda,Aruba,47,43,1.76,2.18,1.74,1.65,2,3,away_win
Dominica,Guyana,39,55,3.88,5.44,0.7,1.97,3,2,home_win
Guadeloupe,Guyana,60,55,1.0,-3.37,2.0,1.73,2,1,home_win
Aruba,Barbados,43,48,2.53,-3.57,1.04,1.63,0,3,away_win
Dominican Republic,Curacao,57,68,3.89,-3.9,1.62,2.58,0,1,away_win
Guadeloupe,Grenada,60,52,1.57,-0.42,1.31,1.85,2,0,home_win
Guyana,Curacao,55,68,1.56,-2.54,1.38,2.14,3,1,home_win
Haiti,Guadeloupe,69,60,1.93,-1.71,2.21,2.49,1,0,home_win
Curacao,Bermuda,68,47,1.73,5.84,2.65,2.32,1,0,home_win
Aruba,Haiti,43,69,3.72,-1.38,1.45,2.73,2,4,away_win
Cuba,Antigua and Barbuda,62,49,-3.55,-1.71,1.49,2.04,3,0,home_win
Saint Kitts and Nevis,Belize,51,45,-1.39,-2.05,1.7,0.95,2,1,home_win
Suriname,Jamaica,61,78,-0.37,1.83,1.67,1.88,1,2,away_win
Curacao,Saint Lucia,68,46,3.58,-2.62,2.41,1.22,2,0,home_win
Guyana,Cayman Islands,55,33,5.02,2.32,1.86,0.74,1,0,home_win
Trinidad and Tobago,Barbados,71,48,-1.55,0.7,2.66,1.34,2,0,home_win
Curacao,Dominica,68,39,6.94,-6.01,2.32,1.25,5,0,home_win
Martinique,Barbados,59,48,-3.2,0.66,2.66,1.64,1,2,away_win
Suriname,Guadeloupe,61,60,-2.31,-4.48,2.05,2.13,1,0,home_win
Dominican Republic,Bahamas,57,40,-5.79,-1.33,1.9,1.79,2,2,draw
Guadeloupe,Suriname,60,61,2.63,2.71,1.32,2.23,2,0,home_win
Haiti,Dominica,69,39,-2.16,1.81,2.14,1.79,0,2,away_win
Bermuda,Martinique,47,59,-0.86,2.26,1.85,0.81,1,2,away_win
Saint Vincent and the Grenadines,Cuba,45,62,5.72,6.59,0.92,1.81,1,2,away_win
Cuba,Belize,62,45,-4.85,-2.34,2.31,1.57,3,2,home_win
Haiti,Trinidad and Tobago,69,71,-0.7,2.27,2.52,1.67,1,0,home_win
Grenada,Martinique,52,59,-2.33,-2.87,1.77,2.53,1,3,away_win
Grenada,Dominican Republic,52,57,4.95,3.62,2.33,1.96,1,0,home_win
Saint Lucia,Saint Vincent and the Grenadines,46,45,3.96,-1.26,1.8,2.02,1,1,draw
Belize,Suriname,45,61,-1.45,0.59,1.96,2.04,0,2,away_win
Aruba,Guyana,43,55,5.12,-0.06,2.02,2.05,0,0,draw
Belize,Curacao,45,68,-0.14,-2.15,2.04,2.19,2,1,home_win
Guyana,Suriname,55,61,1.46,-2.77,2.04,1.25,2,1,home_win
Trinidad and Tobago,Saint Kitts and Nevis,71,51,4.52,-1.13,2.72,2.3,1,0,home_win
Dominican Republic,Trinidad and Tobago,57,71,0.94,0.68,2.11,1.94,0,0,draw
Cuba,Barbados,62,48,-4.16,2.22,1.56,1.75,2,2,draw
Barbados,Bermuda,48,47,-5.92,-1.13,1.19,1.72,2,2,draw
Guadeloupe,Montserrat,60,30,0.72,1.47,1.52,0.97,4,0,home_win
Aruba,Grenada,43,52,2.19,0.65,1.33,1.82,1,2,away_win
Dominican Republic,Cayman Islands,57,33,2.64,2.19,2.1,1.17,1,0,home_win
Guadeloupe,Suriname,60,61,-0.32,-0.62,1.99,2.26,3,4,away_win
Montserrat,Belize,30,45,-4.03,1.55,0.32,1.11,1,2,away_win
Guyana,Montserrat,55,30,1.04,3.06,1.77,0.92,0,0,draw
Montserrat,Trinidad and Tobago,30,71,1.61,-0.25,0.56,2.54,0,1,away_win
Barbados,Saint Kitts and Nevis,48,51,0.9,-4.96,1.14,0.78,5,1,home_win
Antigua and Barbuda,Saint Vincent and the Grenadines,49,45,2.57,-0.48,1.11,1.29,3,1,home_win
Saint Lucia,Haiti,46,69,-2.02,-1.83,0.49,1.72,0,1,away_win
Curacao,Bermuda,68,47,7.48,-1.41,2.53,1.7,3,0,home_win
Puerto Rico,Cayman Islands,44,33,-2.3,0.66,0.82,1.71,1,0,home_win
Saint Lucia,Barbados,46,48,-2.2,-4.47,1.73,1.67,1,2,away_win
Dominican Republic,Bahamas,57,40,0.38,-2.35,2.23,0.89,1,1,draw
Barbados,Martinique,48,59,-0.52,0.6,1.88,2.39,1,0,home_win
Guadeloupe,Cayman Islands,60,33,4.13,0.67,1.69,1.34,5,0,home_win
Trinidad and Tobago,Jamaica,71,78,1.9,3.16,2.68,2.6,0,5,away_win
Guyana,Barbados,55,48,-4.39,-0.94,1.01,1.63,4,0,home_win
Belize,Jamaica,45,78,7.18,-1.51,1.39,3.09,0,3,away_win
Cayman Islands,Grenada,33,52,5.23,-1.89,1.21,2.43,2,2,draw
Puerto Rico,Cuba,44,62,3.46,-2.97,1.25,2.48,0,1,away_win
Cuba,Martinique,62,59,-3.71,3.69,2.3,1.23,0,2,away_win
Puerto Rico,Dominican Republic,44,57,3.01,2.02,0.96,1.47,3,1,home_win
Bermuda,Curacao,47,68,3.65,6.15,1.57,2.39,2,2,draw
Guyana,Montserrat,55,30,2.78,3.14,1.6,0.56,1,0,home_win
Haiti,Dominican Republic,69,57,-4.91,-1.0,2.96,1.7,1,0,home_win
Bermuda,Antigua and Barbuda,47,49,4.98,-7.75,1.19,1.99,3,2,home_win
Jamaica,Suriname,78,61,1.9,-3.37,2.76,1.65,6,1,home_win
Barbados,Antigua and Barbuda,48,49,0.81,4.69,1.81,1.69,4,1,home_win
Puerto Rico,Cuba,44,62,-2.65,2.02,1.18,2.23,0,2,away_win
Dominican Republic,Dominica,57,39,3.77,3.61,1.98,0.72,6,0,home_win
Aruba,Suriname,43,61,-2.22,4.94,1.39,1.99,1,2,away_win
Guadeloupe,Antigua and Barbuda,60,49,-1.51,4.66,2.45,1.58,3,1,home_win
Bermuda,Saint Vincent and the Grenadines,47,45,4.87,0.19,1.45,0.82,6,1,home_win
Saint Kitts and Nevis,Guadeloupe,51,60,5.58,-3.23,2.54,1.86,0,0,draw
Barbados,Cuba,48,62,-2.7,-1.28,1.03,1.81,2,2,draw
Saint Lucia,Bermuda,46,47,3.17,-1.24,1.27,2.12,0,1,away_win
Bermuda,Puerto Rico,47,44,-1.16,0.9,1.85,1.87,3,4,away_win
Antigua and Barbuda,Grenada,49,52,-2.73,3.01,1.62,2.48,0,1,away_win
Guyana,Jamaica,55,78,0.12,-0.22,2.29,2.85,1,0,home_win
Saint Lucia,Saint Kitts and Nevis,46,51,1.52,-1.11,1.36,1.03,1,0,home_win
Belize,Guyana,45,55,4.54,7.79,0.77,2.7,3,1,home_win
Grenada,Belize,52,45,-2.54,-1.62,1.26,1.16,2,1,home_win
Cayman Islands,Grenada,33,52,-5.69,1.86,1.12,1.39,2,1,home_win
Guyana,Saint Vincent and the Grenadines,55,45,2.08,-4.03,1.89,1.4,0,1,away_win
Dominican Republic,Bahamas,57,40,2.19,-2.25,2.11,1.27,2,0,home_win
Haiti,Jamaica,69,78,-2.8,2.53,2.42,2.77,3,0,home_win
Saint Lucia,Bermuda,46,47,-5.23,-1.46,1.56,1.46,1,0,home_win
Curacao,Jamaica,68,78,-1.22,2.27,2.27,2.69,1,0,home_win
Dominica,Martinique,39,59,-3.24,-4.99,1.55,1.8,0,2,away_win
Grenada,Guyana,52,55,-0.22,3.08,2.5,1.53,1,1,draw
Haiti,Trinidad and Tobago,69,71,1.31,0.09,2.99,2.79,3,1,home_win
Montserrat,Puerto Rico,30,44,-4.69,-2.63,0.33,1.46,1,2,away_win
Bermuda,Puerto Rico,47,44,1.77,0.85,1.76,1.7,1,0,home_win
Bahamas,Aruba,40,43,0.62,1.79,0.86,2.18,0,0,draw
Montserrat,Bermuda,30,47,-1.24,4.78,1.42,1.97,1,2,away_win
Cuba,Bahamas,62,40,2.86,-1.33,1.54,0.83,4,0,home_win
Saint Vincent and the Grenadines,Montserrat,45,30,0.49,-4.04,1.71,0.52,3,2,home_win
Trinidad and Tobago,Haiti,71,69,-0.28,2.18,1.92,2.3,1,0,home_win
Barbados,Cuba,48,62,0.25,8.12,1.17,1.73,0,1,away_win
Barbados,Cayman Islands,48,33,-0.72,2.79,2.11,1.24,0,1,away_win
Jamaica,Suriname,78,61,-1.21,-0.31,2.38,2.1,1,1,draw
Suriname,Antigua and Barbuda,61,49,2.93,-4.58,1.53,1.07,1,0,home_win
Antigua and Barbuda,Dominican Republic,49,57,-4.3,-2.82,1.49,1.77,0,3,away_win
Dominican Republic,Martinique,57,59,-2.91,2.27,2.49,2.26,0,1,away_win
Guadeloupe,Antigua and Barbuda,60,49,-5.51,-0.5,2.45,2.44,2,1,home_win
Cayman Islands,Aruba,33,43,2.16,1.49,1.26,1.57,0,1,away_win
Curacao,Martinique,68,59,-4.23,-2.43,2.64,1.61,1,1,draw
Puerto Rico,Saint Lucia,44,46,2.42,2.69,0.92,1.88,5,1,home_win
Trinidad and Tobago,Bermuda,71,47,4.91,4.54,2.28,1.42,2,2,draw
Grenada,Jamaica,52,78,1.28,1.72,1.17,2.14,0,5,away_win
Montserrat,Curacao,30,68,-3.28,1.5,0.88,1.98,0,3,away_win
Montserrat,Aruba,30,43,2.53,-4.09,1.24,1.08,2,3,away_win
Grenada,Aruba,52,43,0.75,0.66,1.23,2.39,2,2,draw
Dominican Republic,Antigua and Barbuda,57,49,5.18,-1.15,2.44,1.83,1,2,away_win
Haiti,Saint Vincent and the Grenadines,69,45,-2.43,-2.37,2.33,1.57,1,0,home_win
Puerto Rico,Saint Lucia,44,46,1.54,3.15,1.89,1.24,2,1,home_win
Trinidad and Tobago,Cuba,71,62,1.9,-2.03,2.74,1.39,2,0,home_win
Suriname,Dominica,61,39,0.98,1.99,2.37,1.57,3,0,home_win
Martinique,Curacao,59,68,-2.44,-1.4,2.2,2.06,1,2,away_win
Curacao,Cuba,68,62,-4.97,-2.44,1.93,2.84,1,1,draw
Dominican Republic,Barbados,57,48,-0.15,-4.23,2.04,2.03,4,0,home_win
Dominican Republic,Haiti,57,69,0.53,-0.18,2.18,1.88,2,1,home_win
Belize,Guyana,45,55,-1.19,-3.04,1.81,1.92,3,2,home_win
Montserrat,Suriname,30,61,-0.8,-2.76,0.81,2.24,0,2,away_win
Antigua and Barbuda,Cayman Islands,49,33,-1.47,-1.26,1.86,0.57,1,0,home_win
Cuba,Martinique,62,59,-0.41,5.27,2.71,1.83,2,1,home_win
Cuba,Haiti,62,69,3.26,7.63,2.01,2.59,1,1,draw
Barbados,Haiti,48,69,1.11,0.84,1.52,3.11,1,3,away_win
Trinidad and Tobago,Curacao,71,68,2.28,0.58,2.28,2.09,5,1,home_win
Saint Vincent and the Grenadines,Dominica,45,39,-6.73,0.37,1.62,1.09,1,1,draw
Bermuda,Grenada,47,52,-3.33,1.34,1.35,1.23,2,1,home_win
Aruba,Puerto Rico,43,44,0.17,0.92,0.84,1.91,0,0,draw
Cuba,Curacao,62,68,3.15,2.41,2.49,1.84,4,0,home_win
Haiti,Antigua and Barbuda,69,49,3.39,-2.05,1.99,1.9,0,0,draw
Dominica,Puerto Rico,39,44,-6.35,-1.42,0.6,1.38,0,1,away_win
Grenada,Martinique,52,59,5.83,4.05,1.14,2.04,0,1,away_win
Cuba,Guadeloupe,62,60,-3.35,-4.37,1.32,2.33,3,2,home_win
Cayman Islands,Aruba,33,43,-1.68,-2.79,1.19,1.44,0,1,away_win
Saint Vincent and the Grenadines,Dominican Republic,45,57,-5.84,0.66,0.73,2.13,0,1,away_win
Bahamas,Martinique,40,59,2.74,5.01,1.6,1.58,0,2,away_win
Saint Lucia,Aruba,46,43,-3.6,5.26,1.73,1.6,1,1,draw
Grenada,Barbados,52,48,-0.95,0.18,1.32,1.84,2,1,home_win
Saint Lucia,Dominica,46,39,0.85,-0.2,1.38,1.76,2,2,draw
Haiti,Cuba,69,62,-2.98,-1.83,1.47,2.14,2,1,home_win
Belize,Dominica,45,39,0.63,3.04,1.84,1.18,1,2,away_win
Guadeloupe,Suriname,60,61,-1.87,-2.2,1.68,2.07,2,1,home_win
Trinidad and Tobago,Grenada,71,52,-3.35,-1.06,2.74,1.51,1,0,home_win
Cayman Islands,Dominican Republic,33,57,-1.14,3.39,1.06,2.0,0,1,away_win
Puerto Rico,Trinidad and Tobago,44,71,3.84,-3.58,0.94,2.77,1,1,draw
Aruba,Cuba,43,62,3.45,-0.33,1.31,1.73,0,2,away_win
Barbados,Puerto Rico,48,44,-0.7,-1.14,1.37,1.1,4,1,home_win
Haiti,Curacao,69,68,-3.2,1.03,1.79,2.52,2,1,home_win
Cuba,Martinique,62,59,3.93,3.58,2.6,2.22,2,1,home_win
Dominica,Guadeloupe,39,60,0.25,0.75,1.86,1.92,0,0,draw
Saint Kitts and Nevis,Curacao,51,68,1.91,7.27,1.16,1.95,1,1,draw
Aruba,Martinique,43,59,0.41,4.64,1.22,1.95,2,3,away_win
Martinique,Saint Kitts and Nevis,59,51,3.43,2.65,2.58,1.96,2,0,home_win
Dominica,Saint Vincent and the Grenadines,39,45,-3.74,1.54,1.66,1.62,0,2,away_win
Suriname,Dominican Republic,61,57,-7.44,1.99,1.33,2.16,2,3,away_win
Haiti,Aruba,69,43,0.82,2.06,2.46,1.04,2,0,home_win
Saint Kitts and Nevis,Dominica,51,39,-0.73,2.16,1.64,1.28,1,1,draw
Bahamas,Bermuda,40,47,-0.74,4.36,0.95,1.82,0,1,away_win
Barbados,Saint Kitts and Nevis,48,51,2.59,-0.16,2.06,1.36,1,1,draw
Suriname,Barbados,61,48,-2.19,1.98,2.15,0.87,1,1,draw
Puerto Rico,Saint Kitts and Nevis,44,51,-0.8,-5.68,1.52,2.06,2,1,home_win
Trinidad and Tobago,Jamaica,71,78,1.38,-6.16,2.26,2.44,1,2,away_win
Jamaica,Saint Vincent and the Grenadines,78,45,4.56,3.75,2.83,1.41,3,0,home_win
Guyana,Puerto Rico,55,44,-2.91,-3.24,1.58,1.07,2,1,home_win
Guadeloupe,Bahamas,60,40,1.71,-0.73,1.57,1.18,2,0,home_win
Trinidad and Tobago,Saint Vincent and the Grenadines,71,45,2.12,-5.3,2.19,1.89,3,0,home_win
Grenada,Suriname,52,61,-1.1,0.05,1.67,2.17,1,1,draw
Guyana,Cayman Islands,55,33,0.99,1.0,1.38,1.67,1,0,home_win
Martinique,Grenada,59,52,3.85,2.27,2.18,2.01,2,3,away_win
Curacao,Bahamas,68,40,0.78,1.48,2.54,0.94,3,0,home_win
Antigua and Barbuda,Saint Lucia,49,46,0.23,7.24,2.14,1.52,0,0,draw
Cuba,Trinidad and Tobago,62,71,0.88,5.16,1.68,2.48,2,0,home_win
Guyana,Martinique,55,59,-5.23,4.18,1.58,2.2,2,4,away_win
Barbados,Montserrat,48,30,0.58,0.7,1.96,1.12,2,1,home_win
Martinique,Guyana,59,55,-3.57,3.16,1.75,1.92,1,5,away_win
Antigua and Barbuda,Dominica,49,39,-3.95,-1.03,1.33,1.35,3,1,home_win
Trinidad and Tobago,Guyana,71,55,0.35,-0.6,2.26,2.26,2,1,home_win
Suriname,Saint Vincent and the Grenadines,61,45,-0.56,2.13,2.11,1.48,3,0,home_win
Antigua and Barbuda,Saint Vincent and the Grenadines,49,45,1.44,-1.44,1.93,1.44,2,0,home_win
Dominica,Antigua and Barbuda,39,49,-2.85,-5.24,1.03,1.63,3,2,home_win
Dominica,Belize,39,45,1.48,-3.24,1.56,1.32,5,2,home_win
Bermuda,Saint Kitts and Nevis,47,51,0.7,0.15,1.62,1.67,0,1,away_win
Barbados,Saint Vincent and the Grenadines,48,45,-0.73,-5.03,1.17,1.51,4,0,home_win
Saint Vincent and the Grenadines,Martinique,45,59,-4.47,-1.23,1.15,2.29,1,0,home_win
Bermuda,Bahamas,47,40,-3.24,4.96,1.73,1.18,2,3,away_win
Jamaica,Belize,78,45,-3.26,5.56,2.6,1.03,1,0,home_win
Grenada,Trinidad and Tobago,52,71,3.97,-4.85,2.38,2.52,3,0,home_win
Guadeloupe,Trinidad and Tobago,60,71,3.33,-1.5,2.03,2.68,1,1,draw
Bahamas,Guadeloupe,40,60,0.46,-1.96,0.94,1.92,0,1,away_win
Belize,Saint Vincent and the Grenadines,45,45,4.05,0.46,1.96,1.54,1,0,home_win
Cayman Islands,Martinique,33,59,-4.9,1.07,1.19,2.76,0,2,away_win
Dominican Republic,Saint Kitts and Nevis,57,51,-4.52,-0.03,1.57,1.14,0,0,draw
Aruba,Dominica,43,39,-1.87,4.06,1.93,1.65,2,6,away_win
Dominican Republic,Puerto Rico,57,44,1.08,1.92,1.93,1.04,6,1,home_win
Montserrat,Dominican Republic,30,57,-0.64,2.62,0.57,1.79,0,2,away_win
Haiti,Trinidad and Tobago,69,71,-3.84,0.75,2.28,1.95,0,1,away_win
Belize,Guyana,45,55,2.12,-1.45,0.84,1.63,1,1,draw
Guyana,Saint Vincent and the Grenadines,55,45,-1.04,3.88,2.4,1.43,1,0,home_win
Bahamas,Grenada,40,52,-2.72,3.51,1.08,1.56,1,1,draw
Aruba,Guadeloupe,43,60,-2.51,-5.42,1.59,3.08,1,1,draw
Trinidad and Tobago,Montserrat,71,30,-0.13,-0.49,2.2,0.85,1,0,home_win
Haiti,Martinique,69,59,-3.38,-5.65,2.79,2.19,0,0,draw
Montserrat,Bermuda,30,47,0.36,1.2,0.68,1.31,0,3,away_win
Montserrat,Martinique,30,59,-1.47,3.71,0.97,2.35,0,4,away_win
Barbados,Martinique,48,59,3.46,-3.6,1.97,1.42,1,0,home_win
Cayman Islands,Saint Kitts and Nevis,33,51,4.59,2.73,0.85,1.75,1,3,away_win
Jamaica,Barbados,78,48,-3.05,3.43,2.62,1.07,2,0,home_win
Cuba,Guyana,62,55,-1.63,-4.16,2.34,1.59,4,1,home_win
Puerto Rico,Saint Kitts and Nevis,44,51,0.72,1.33,2.31,1.5,1,2,away_win
Saint Vincent and the Grenadines,Curacao,45,68,0.68,1.84,1.57,2.46,0,3,away_win
Saint Lucia,Martinique,46,59,-3.65,-0.12,1.69,2.06,1,0,home_win
Saint Lucia,Belize,46,45,-0.67,-3.44,1.05,1.45,1,3,away_win
Antigua and Barbuda,Montserrat,49,30,1.57,2.08,1.85,0.98,2,2,draw
Antigua and Barbuda,Montserrat,49,30,-6.53,3.2,1.23,1.43,4,1,home_win
Puerto Rico,Saint Kitts and Nevis,44,51,-2.38,0.52,1.36,2.16,0,1,away_win
Trinidad and Tobago,Guyana,71,55,3.78,3.73,2.04,2.15,1,1,draw
Saint Lucia,Antigua and Barbuda,46,49,4.25,-0.27,1.65,1.32,2,0,home_win
Martinique,Trinidad and Tobago,59,71,-0.78,1.14,1.78,2.05,0,1,away_win
Barbados,Dominica,48,39,0.64,-1.89,1.36,1.65,1,1,draw
Saint Kitts and Nevis,Cuba,51,62,0.48,0.45,1.52,2.4,1,2,away_win
Grenada,Cayman Islands,52,33,-1.17,-2.04,1.91,1.19,0,0,draw
Puerto Rico,Trinidad and Tobago,44,71,3.41,1.31,1.49,2.79,2,4,away_win
Curacao,Haiti,68,69,0.62,2.81,2.27,2.69,1,2,away_win
Montserrat,Antigua and Barbuda,30,49,0.85,0.34,1.2,1.9,0,1,away_win
Puerto Rico,Bahamas,44,40,-6.14,-1.27,1.78,0.88,2,2,draw
Puerto Rico,Cuba,44,62,7.85,-1.94,1.76,2.21,0,3,away_win
Aruba,Saint Vincent and the Grenadines,43,45,-1.23,-0.51,2.07,2.37,2,2,draw
Dominica,Dominican Republic,39,57,1.13,-4.74,0.89,2.01,2,1,home_win
Belize,Curacao,45,68,0.32,6.78,2.0,2.39,0,1,away_win
